...1,density,burn_percentage,directions,ticks
0,1,0.3236245954692557,4,13
2,1,0.16666666666666669,4,13
3,1,0.16583747927031509,4,13
4,1,0.16129032258064516,4,13
5,1,0.6825938566552902,4,13
6,1,0.1567398119122257,4,13
7,1,0.15873015873015872,4,13
8,1,0.78125,4,13
9,1,0.15847860538827258,4,13
10,2,0.16273393002441008,4,13
11,2,0.3103180760279286,4,13
12,2,0.24590163934426232,4,13
13,2,0.15822784810126583,4,13
14,2,0.24429967426710095,4,13
16,2,0.3918495297805642,4,13
17,2,0.16488046166529266,4,13
18,2,0.3937007874015748,4,14
19,2,0.5622489959839357,4,13
20,3,0.21621621621621623,4,13
21,3,0.42238648363252373,4,13
22,3,0.2653927813163482,4,13
25,3,0.3186404673393521,4,13
26,3,0.2616431187859759,4,13
27,3,0.3761418592154755,4,13
28,3,0.20844189682126105,4,13
29,3,0.6305832895428272,4,14
30,4,0.16142050040355124,4,13
31,4,0.6346687822292741,4,13
33,4,0.4004805766920304,4,13
34,4,0.5511811023622047,4,14
35,4,0.5118110236220472,4,13
37,4,0.5250403877221325,4,13
38,4,0.5537974683544303,4,14
42,5,0.3639973527465255,4,13
43,5,0.4124365482233503,4,13
44,5,0.5211726384364821,4,14
46,5,0.418140881312319,4,14
47,5,0.2302631578947368,4,13
49,5,0.2880921895006402,4,13
50,6,0.16034206306787815,4,13
51,6,0.5470174524615785,4,14
52,6,0.411748558880044,4,14
53,6,0.39661554732945536,4,13
54,6,0.6237006237006237,4,14
55,6,0.28578851649779163,4,13
56,6,0.6670224119530417,4,13
57,6,0.5891805034815212,4,14
58,6,0.33933698773166276,4,13
60,7,0.1601464195836193,4,13
62,7,0.42105263157894735,4,14
63,7,0.22639800769753224,4,13
64,7,0.37929495760821064,4,14
65,7,0.3106968486462494,4,13
66,7,0.5949656750572082,4,14
67,7,0.2985760220486909,4,13
68,7,0.36446469248291574,4,13
69,7,0.3429355281207133,4,13
70,8,0.1986886548778065,4,13
71,8,0.4116839835326407,4,15
73,8,0.7201440288057611,4,14
74,8,0.3548895899053628,4,13
76,8,0.3003003003003003,4,13
78,8,0.4619401486242217,4,14
79,8,0.6577636037472593,4,15
80,9,0.2651113467656416,4,15
82,9,0.4105676544091396,4,17
84,9,0.34958923265163433,4,13
85,9,0.44349831470640416,4,16
86,9,0.3744650499286733,4,14
88,9,0.6737588652482269,4,15
89,9,0.6950632685795759,4,17
91,10,0.5370399620912968,4,14
92,10,0.5574136008918618,4,16
93,10,0.4303474657315907,4,14
94,10,0.2683080808080808,4,13
95,10,0.5266418835192069,4,15
96,10,0.7260406582768635,4,15
97,10,0.5499838240051763,4,15
98,10,0.49418141240235935,4,14
100,11,0.34507548526240117,4,15
101,11,0.4163077806488659,4,14
103,11,0.37270642201834864,4,15
104,11,0.5280915358662168,4,16
105,11,0.371322479291631,4,15
107,11,0.4765450483991065,4,14
109,11,0.4382761139517896,4,16
110,12,0.3310381355932203,4,15
111,12,0.4789781798829164,4,14
112,12,0.5941931127616475,4,16
113,12,0.49280767181672885,4,15
115,12,0.636604774535809,4,15
116,12,0.49865229110512127,4,15
117,12,0.5752508361204014,4,14
118,12,0.34386985848432744,4,15
119,12,0.3218884120171674,4,14
120,13,0.36710719530102787,4,15
121,13,0.5128205128205128,4,16
122,13,0.4613466334164589,4,16
123,13,0.4789977892409727,4,15
124,13,0.4817535830422739,4,17
125,13,0.5182596119079185,4,14
126,13,0.6087712759348988,4,14
127,13,0.5062978513213139,4,16
128,13,0.4878048780487805,4,15
131,14,0.4452054794520548,4,15
132,14,0.4497751124437781,4,16
133,14,0.4000457195108012,4,15
134,14,0.3418803418803419,4,15
135,14,0.3933910306845004,4,14
136,14,0.566604995374653,4,16
137,14,0.5239259517988124,4,14
138,14,0.6128007262823423,4,19
139,14,0.49215978024493534,4,16
140,15,0.41542394546229233,4,15
141,15,0.4752349772943288,4,16
142,15,0.49542272482498656,4,15
143,15,0.42544139544777704,4,16
144,15,0.5747738158594997,4,17
146,15,0.515630035449565,4,16
149,15,0.41427660930529,4,15
150,16,0.49004900490049,4,15
151,16,0.6253101736972705,4,16
153,16,0.5288893324019559,4,15
154,16,0.5596465390279823,4,18
156,16,0.563097033685269,4,15
157,16,0.5342203406914625,4,16
159,16,0.42523033309709424,4,16
160,17,0.4700573469963335,4,15
163,17,0.6185567010309279,4,17
165,17,0.42719167904903416,4,14
166,17,0.653038046564452,4,15
167,17,0.5155605549306337,4,16
171,18,0.49938671806553353,4,16
172,18,0.4082357117500888,4,14
173,18,0.42338528060535086,4,18
174,18,0.5404934181849883,4,15
175,18,0.6170662905500706,4,17
176,18,0.5001339644547647,4,16
177,18,0.5837608349548912,4,17
178,18,0.5063066263990051,4,17
179,18,0.5654281098546041,4,18
182,19,0.46272926131583375,4,17
183,19,0.5294167876355563,4,16
184,19,0.5451190875545119,4,17
185,19,0.4943857885034356,4,17
186,19,0.5987014082131714,4,17
189,19,0.6632653061224489,4,16
190,20,0.5361715749039693,4,16
191,20,0.4466422076886266,4,15
192,20,0.423525651270577,4,15
193,20,0.42840142800476,4,15
194,20,0.6463453558889243,4,16
195,20,0.6585733555502659,4,21
197,20,0.6012988054197066,4,16
198,20,0.5772005772005772,4,15
199,20,0.4436915133914166,4,16
202,21,0.4625066343164759,4,15
